"CRASH_UNIT_ID","CRASH_RECORD_ID","RD_NO","CRASH_DATE","UNIT_NO","UNIT_TYPE","NUM_PASSENGERS","VEHICLE_ID","CMRC_VEH_I","MAKE","MODEL","LIC_PLATE_STATE","VEHICLE_YEAR","VEHICLE_DEFECT","VEHICLE_TYPE","VEHICLE_USE","TRAVEL_DIRECTION","MANEUVER","TOWED_I","FIRE_I","OCCUPANT_CNT","EXCEED_SPEED_LIMIT_I","TOWED_BY","TOWED_TO","AREA_00_I","AREA_01_I","AREA_02_I","AREA_03_I","AREA_04_I","AREA_05_I","AREA_06_I","AREA_07_I","AREA_08_I","AREA_09_I","AREA_10_I","AREA_11_I","AREA_12_I","AREA_99_I","FIRST_CONTACT_POINT","CMV_ID","USDOT_NO","CCMC_NO","ILCC_NO","COMMERCIAL_SRC","GVWR","CARRIER_NAME","CARRIER_STATE","CARRIER_CITY","HAZMAT_PLACARDS_I","HAZMAT_NAME","UN_NO","HAZMAT_PRESENT_I","HAZMAT_REPORT_I","HAZMAT_REPORT_NO","MCS_REPORT_I","MCS_REPORT_NO","HAZMAT_VIO_CAUSE_CRASH_I","MCS_VIO_CAUSE_CRASH_I","IDOT_PERMIT_NO","WIDE_LOAD_I","TRAILER1_WIDTH","TRAILER2_WIDTH","TRAILER1_LENGTH","TRAILER2_LENGTH","TOTAL_VEHICLE_LENGTH","AXLE_CNT","VEHICLE_CONFIG","CARGO_BODY_TYPE","LOAD_TYPE","HAZMAT_OUT_OF_SERVICE_I","MCS_OUT_OF_SERVICE_I","HAZMAT_CLASS"
"967411","5462b17ed272b8438a9ebf71a5889ceddff2090ad5d5345a4eeedb4172fdadff2516ae9e9d49f1f3ac12e9021ad79e153b34912d4f37cdb4929b06178b1e6235","JD383302","09/24/2020 10:00:00 PM","2","DRIVER",NULL,"916858.0",NULL,"TOYOTA","PRIUS",NULL,"2010.0","NONE","PASSENGER","PERSONAL","E","SLOW/STOP IN TRAFFIC",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR-LEFT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"967483","beedac3b32878b15833bd96d73d8533f91f5560b6c156744b95eb935c9f02817a2b6da6067a51deb7f125371514ea5e9f33ceb3c6c3b8717bcf07103e0b21cdf","JD383395","09/29/2020 04:30:00 PM","2","DRIVER",NULL,"916931.0",NULL,"MOTOR COACH INDUSTRIES, INC.","MOTOR COACH INDUSTRIES, INC.","IL","2014.0","NONE","BUS OVER 15 PASS.","PERSONAL","N","STARTING IN TRAFFIC",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR-LEFT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"968166","d2da119eb2a9ad60d2393005b5935380591d0c6444bd14f43eb6d22a01e3d8320c4e362afcdc48221d55b3859479d1f424847bf04e43f176862a7d94ba18940c","JD384563","09/30/2020 06:50:00 PM","2","DRIVER",NULL,"917562.0",NULL,"NISSAN","SENTRA","IL","2019.0","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD","Y",NULL,"1.0",NULL,"self",NULL,NULL,"Y","Y",NULL,NULL,NULL,NULL,"Y","Y","Y","Y","Y","Y",NULL,"ROOF",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"968521","5919d893082fe623ef93bce2331e8ad88eab38674153880d9ccb9792384a15fccd20114bbd36171c013b01793b493a96703a461a4d28945cff18f93ce3f2c118","JD385373","10/01/2020 03:45:00 PM","2","DRIVER",NULL,"917914.0",NULL,"ACURA","TLX","IL","2011.0","NONE","PASSENGER","PERSONAL","NE","LEAVING TRAFFIC LANE TO PARK",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR-RIGHT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"968606","d559ebfe4687f8b96dbc20d107e0dd96f111e6fbfd946f90f3b48f8ff6e30a2ca470666eb8529506ea17faed08fc718f20123dab8b708e50a4eb263f15b83a7b","JD385426","10/01/2020 04:13:00 PM","2","DRIVER",NULL,"917979.0",NULL,"BMW","530I","IL","2020.0","NONE","PASSENGER","PERSONAL","E","SLOW/STOP IN TRAFFIC",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR-LEFT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"969123","7e31a2c5106a1afc8578a69b447d36f8a466863b06bd067a511511be8606c5fa2e9bcbf1287f0dcad64aa0ca7b3905e9d4915552110fb5e79550798829074488","JD386225","10/01/2020 01:00:00 PM","2","DRIVER",NULL,"918467.0",NULL,"HYUNDAI","ELANTRA","IL","2013.0","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR-LEFT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"969295","79d98770250fc022c26346adebd02fe58f6f0024b7d6946d56975655ac0dca1015dcc0b8e51d2c6f7686e413135be0fd2c4582d225032c7389ee5492b25bbb1e","JD386488","10/02/2020 03:16:00 PM","2","DRIVER",NULL,"918636.0",NULL,"FORD","OTHER (EXPLAIN IN NARRATIVE)","IL","2020.0","NONE","BUS UP TO 15 PASS.","NOT IN USE","E","OTHER",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","Y",NULL,NULL,NULL,NULL,NULL,NULL,"FRONT-LEFT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"969491","7629ee9d033b2fa5a8af72a2c6b7372f73d1e087fa38015954c8c8983b28c13b6dd27ba8ec1a250fbb31d7a8d9ce4c851f779801c6a565b156199e63700a36d1","JD386752","10/02/2020 06:20:00 PM","2","DRIVER",NULL,"918830.0",NULL,"NISSAN","QUEST","IL","2012.0","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRONT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"969708","ef80cc0b3986ecce07e08b3c5590b44d677aed198ec707b6d7367cad80205719fe66789c15295923482167e5bcbe59c216193356ef22cf52ffef7e8f2f75d919","JD387071","10/03/2020 06:57:00 AM","1","DRIVER",NULL,"919019.0",NULL,"SUBARU","FORESTER","IL","2016.0","UNKNOWN","PASSENGER","PERSONAL","NW","TURNING LEFT","N",NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","Y",NULL,"TOTAL (ALL AREAS)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"969759","990175a2c85df45ae81e3fabdddfa117aab4b27a7b64c7de582a5a40e37f7740bb0b8ce3d97adbf8dd5fc367f53803da1c2a00c2d53f882ee6cde7a8971e14db","JD387198","10/03/2020 05:00:00 AM","2","PARKED",NULL,"919066.0",NULL,"DODGE","CHARGER","IL","2020.0","NONE","PASSENGER","PERSONAL","N","PARKED",NULL,NULL,"0.0",NULL,NULL,NULL,NULL,NULL,NULL,"Y","Y","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SIDE-RIGHT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"970042","3f54bfe845f7845db7c79bee907d81e2601a1c25a05dac6adbc86c12c58cca95211548ff738c57eb466b11ca3cce04f7085e9757060a2c76a435fe8769512559","JD387592","10/03/2020 04:30:00 PM","2","DRIVER",NULL,"919338.0",NULL,"KIA","FORTE","IL","2015.0","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","Y","Y","Y",NULL,NULL,"ROOF",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"970254","eeaf967ee870bbb072f8996a5d63e32890ad02cfff9a6de7fc17b90109cf7761ef9d4f697af4634cd87b84de35afe6c39e6c1294bfb62dace74b0c5e39e264f8","JD387831","10/03/2020 08:12:00 PM","2","DRIVER","1.0","919531.0",NULL,"DODGE","CHALLENGER","IN","2016.0","UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",NULL,NULL,"2.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR-RIGHT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"970480","a1965faccd61a38ab3591d4fb5a4ce992a810c4e922652d01365ca6c4605db11e2ec8ee3a91c216d59a8af84ff5bf5ee4d4b9dd0b4c3af699153853a9b6f3378","JD388104","10/04/2020 04:08:00 AM","2","DRIVER",NULL,"919748.0",NULL,"CHRYSLER","300","IL","2016.0","UNKNOWN","PASSENGER","PERSONAL","N","TURNING LEFT",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,"Y","Y","Y","Y","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SIDE-RIGHT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
